"Year","City","Main Section","Sub-Section","Value"
1991,"Amsterdam","General: Domestic Purchasing Power","Gross (New York = 100)",106.0
1991,"Amsterdam","General: Domestic Purchasing Power","Net (New York = 100)",94.7
1991,"Athens","General: Domestic Purchasing Power","Gross (New York = 100)",68.6
1991,"Athens","General: Domestic Purchasing Power","Net (New York = 100)",71.4
1991,"Bogotá","General: Domestic Purchasing Power","Gross (New York = 100)",32.5
1991,"Bogotá","General: Domestic Purchasing Power","Net (New York = 100)",38.4
1991,"Brussels","General: Domestic Purchasing Power","Gross (New York = 100)",113.0
1991,"Brussels","General: Domestic Purchasing Power","Net (New York = 100)",86.6
1991,"Buenos Aires","General: Domestic Purchasing Power","Gross (New York = 100)",26.5
1991,"Buenos Aires","General: Domestic Purchasing Power","Net (New York = 100)",28.1
1991,"Caracas","General: Domestic Purchasing Power","Gross (New York = 100)",18.6
1991,"Caracas","General: Domestic Purchasing Power","Net (New York = 100)",22.5
1991,"Chicago","General: Domestic Purchasing Power","Gross (New York = 100)",118.2
1991,"Chicago","General: Domestic Purchasing Power","Net (New York = 100)",106.1
1991,"Copenhagen","General: Domestic Purchasing Power","Gross (New York = 100)",111.5
1991,"Copenhagen","General: Domestic Purchasing Power","Net (New York = 100)",87.2
1991,"Dublin","General: Domestic Purchasing Power","Gross (New York = 100)",73.2
1991,"Dublin","General: Domestic Purchasing Power","Net (New York = 100)",69.0
1991,"Düsseldorf","General: Domestic Purchasing Power","Gross (New York = 100)",108.2
1991,"Düsseldorf","General: Domestic Purchasing Power","Net (New York = 100)",97.1
1991,"Frankfurt","General: Domestic Purchasing Power","Gross (New York = 100)",118.6
1991,"Frankfurt","General: Domestic Purchasing Power","Net (New York = 100)",102.8
1991,"Geneva","General: Domestic Purchasing Power","Gross (New York = 100)",118.8
1991,"Geneva","General: Domestic Purchasing Power","Net (New York = 100)",119.1
1991,"Helsinki","General: Domestic Purchasing Power","Gross (New York = 100)",81.2
1991,"Helsinki","General: Domestic Purchasing Power","Net (New York = 100)",74.2
1991,"Hong Kong","General: Domestic Purchasing Power","Gross (New York = 100)",45.4
1991,"Hong Kong","General: Domestic Purchasing Power","Net (New York = 100)",55.2
1991,"Houston","General: Domestic Purchasing Power","Gross (New York = 100)",78.0
1991,"Houston","General: Domestic Purchasing Power","Net (New York = 100)",81.4
1991,"Johannesburg","General: Domestic Purchasing Power","Gross (New York = 100)",59.8
1991,"Johannesburg","General: Domestic Purchasing Power","Net (New York = 100)",59.5
1991,"Kuala Lumpur","General: Domestic Purchasing Power","Gross (New York = 100)",25.2
1991,"Kuala Lumpur","General: Domestic Purchasing Power","Net (New York = 100)",28.7
1991,"Lagos","General: Domestic Purchasing Power","Gross (New York = 100)",6.2
1991,"Lagos","General: Domestic Purchasing Power","Net (New York = 100)",7.6
1991,"Lisbon","General: Domestic Purchasing Power","Gross (New York = 100)",39.0
1991,"Lisbon","General: Domestic Purchasing Power","Net (New York = 100)",42.5
1991,"London","General: Domestic Purchasing Power","Gross (New York = 100)",66.1
1991,"London","General: Domestic Purchasing Power","Net (New York = 100)",69.5
1991,"Los Angeles","General: Domestic Purchasing Power","Gross (New York = 100)",108.3
1991,"Los Angeles","General: Domestic Purchasing Power","Net (New York = 100)",103.3
1991,"Luxembourg","General: Domestic Purchasing Power","Gross (New York = 100)",118.6
1991,"Luxembourg","General: Domestic Purchasing Power","Net (New York = 100)",126.6
1991,"Madrid","General: Domestic Purchasing Power","Gross (New York = 100)",64.9
1991,"Madrid","General: Domestic Purchasing Power","Net (New York = 100)",67.5
1991,"Manila","General: Domestic Purchasing Power","Gross (New York = 100)",11.2
1991,"Manila","General: Domestic Purchasing Power","Net (New York = 100)",12.5
1991,"Mexico City","General: Domestic Purchasing Power","Gross (New York = 100)",11.6
1991,"Mexico City","General: Domestic Purchasing Power","Net (New York = 100)",14.6
1991,"Milan","General: Domestic Purchasing Power","Gross (New York = 100)",83.9
1991,"Milan","General: Domestic Purchasing Power","Net (New York = 100)",82.3
1991,"Montreal","General: Domestic Purchasing Power","Gross (New York = 100)",107.7
1991,"Montreal","General: Domestic Purchasing Power","Net (New York = 100)",98.0
1991,"Mumbai","General: Domestic Purchasing Power","Gross (New York = 100)",24.3
1991,"Mumbai","General: Domestic Purchasing Power","Net (New York = 100)",22.3
1991,"Nairobi","General: Domestic Purchasing Power","Gross (New York = 100)",13.9
1991,"Nairobi","General: Domestic Purchasing Power","Net (New York = 100)",16.2
1991,"New York","General: Domestic Purchasing Power","Gross (New York = 100)",100.0
1991,"New York","General: Domestic Purchasing Power","Net (New York = 100)",100.0
1991,"Nicosia","General: Domestic Purchasing Power","Gross (New York = 100)",67.6
1991,"Nicosia","General: Domestic Purchasing Power","Net (New York = 100)",74.9
1991,"Oslo","General: Domestic Purchasing Power","Gross (New York = 100)",85.7
1991,"Oslo","General: Domestic Purchasing Power","Net (New York = 100)",69.9
1991,"Panama","General: Domestic Purchasing Power","Gross (New York = 100)",32.6
1991,"Panama","General: Domestic Purchasing Power","Net (New York = 100)",35.6
1991,"Paris","General: Domestic Purchasing Power","Gross (New York = 100)",72.1
1991,"Paris","General: Domestic Purchasing Power","Net (New York = 100)",71.1
1991,"Rio de Janeiro","General: Domestic Purchasing Power","Gross (New York = 100)",25.6
1991,"Rio de Janeiro","General: Domestic Purchasing Power","Net (New York = 100)",28.4
1991,"São Paulo","General: Domestic Purchasing Power","Gross (New York = 100)",27.6
1991,"São Paulo","General: Domestic Purchasing Power","Net (New York = 100)",28.6
1991,"Seoul","General: Domestic Purchasing Power","Gross (New York = 100)",57.9
1991,"Seoul","General: Domestic Purchasing Power","Net (New York = 100)",70.9
1991,"Stockholm","General: Domestic Purchasing Power","Gross (New York = 100)",75.8
1991,"Stockholm","General: Domestic Purchasing Power","Net (New York = 100)",44.6
1991,"Sydney","General: Domestic Purchasing Power","Gross (New York = 100)",89.2
1991,"Sydney","General: Domestic Purchasing Power","Net (New York = 100)",93.2
1991,"Taipei","General: Domestic Purchasing Power","Gross (New York = 100)",43.6
1991,"Taipei","General: Domestic Purchasing Power","Net (New York = 100)",51.9
1991,"Tel Aviv","General: Domestic Purchasing Power","Gross (New York = 100)",42.9
1991,"Tel Aviv","General: Domestic Purchasing Power","Net (New York = 100)",50.8
1991,"Tokyo","General: Domestic Purchasing Power","Gross (New York = 100)",68.0
1991,"Tokyo","General: Domestic Purchasing Power","Net (New York = 100)",74.8
1991,"Toronto","General: Domestic Purchasing Power","Gross (New York = 100)",113.9
1991,"Toronto","General: Domestic Purchasing Power","Net (New York = 100)",105.1
1991,"Vienna","General: Domestic Purchasing Power","Gross (New York = 100)",85.3
1991,"Vienna","General: Domestic Purchasing Power","Net (New York = 100)",83.3
1991,"Zurich","General: Domestic Purchasing Power","Gross (New York = 100)",122.2
1991,"Zurich","General: Domestic Purchasing Power","Net (New York = 100)",126.6
1994,"Abu Dhabi","General: Domestic Purchasing Power","Gross (New York = 100)",47.0
1994,"Abu Dhabi","General: Domestic Purchasing Power","Net (New York = 100)",59.6
1994,"Amsterdam","General: Domestic Purchasing Power","Gross (New York = 100)",102.7
1994,"Amsterdam","General: Domestic Purchasing Power","Net (New York = 100)",87.2
1994,"Athens","General: Domestic Purchasing Power","Gross (New York = 100)",61.4
1994,"Athens","General: Domestic Purchasing Power","Net (New York = 100)",58.5
1994,"Bangkok","General: Domestic Purchasing Power","Gross (New York = 100)",16.3
1994,"Bangkok","General: Domestic Purchasing Power","Net (New York = 100)",19.3
1994,"Bogotá","General: Domestic Purchasing Power","Gross (New York = 100)",28.6
1994,"Bogotá","General: Domestic Purchasing Power","Net (New York = 100)",33.7
1994,"Brussels","General: Domestic Purchasing Power","Gross (New York = 100)",99.1
1994,"Brussels","General: Domestic Purchasing Power","Net (New York = 100)",77.0
1994,"Budapest","General: Domestic Purchasing Power","Gross (New York = 100)",20.0
1994,"Budapest","General: Domestic Purchasing Power","Net (New York = 100)",17.7
1994,"Buenos Aires","General: Domestic Purchasing Power","Gross (New York = 100)",35.9
1994,"Buenos Aires","General: Domestic Purchasing Power","Net (New York = 100)",38.0
1994,"Caracas","General: Domestic Purchasing Power","Gross (New York = 100)",13.5498320268757
1994,"Caracas","General: Domestic Purchasing Power","Net (New York = 100)",15.9776536312849
1994,"Chicago","General: Domestic Purchasing Power","Gross (New York = 100)",111.982082866741
1994,"Chicago","General: Domestic Purchasing Power","Net (New York = 100)",111.396648044693
1994,"Copenhagen","General: Domestic Purchasing Power","Gross (New York = 100)",111.758118701008
1994,"Copenhagen","General: Domestic Purchasing Power","Net (New York = 100)",80.5586592178771
1994,"Dublin","General: Domestic Purchasing Power","Gross (New York = 100)",77.043673012318
1994,"Dublin","General: Domestic Purchasing Power","Net (New York = 100)",71.9553072625699
1994,"Düsseldorf","General: Domestic Purchasing Power","Gross (New York = 100)",114.109742441209
1994,"Düsseldorf","General: Domestic Purchasing Power","Net (New York = 100)",96.7597765363129
1994,"Frankfurt","General: Domestic Purchasing Power","Gross (New York = 100)",112.765957446809
1994,"Frankfurt","General: Domestic Purchasing Power","Net (New York = 100)",94.3016759776536
1994,"Geneva","General: Domestic Purchasing Power","Gross (New York = 100)",112.877939529675
1994,"Geneva","General: Domestic Purchasing Power","Net (New York = 100)",104.804469273743
1994,"Helsinki","General: Domestic Purchasing Power","Gross (New York = 100)",73.6842105263158
1994,"Helsinki","General: Domestic Purchasing Power","Net (New York = 100)",61.2290502793296
1994,"Hong Kong","General: Domestic Purchasing Power","Gross (New York = 100)",38.8577827547592
1994,"Hong Kong","General: Domestic Purchasing Power","Net (New York = 100)",41.8994413407821
1994,"Houston","General: Domestic Purchasing Power","Gross (New York = 100)",103.471444568869
1994,"Houston","General: Domestic Purchasing Power","Net (New York = 100)",107.597765363128
1994,"Jakarta","General: Domestic Purchasing Power","Gross (New York = 100)",17.1332586786114
1994,"Jakarta","General: Domestic Purchasing Power","Net (New York = 100)",20.2234636871508
1994,"Johannesburg","General: Domestic Purchasing Power","Gross (New York = 100)",56.9988801791713
1994,"Johannesburg","General: Domestic Purchasing Power","Net (New York = 100)",50.5027932960894
1994,"Lagos","General: Domestic Purchasing Power","Gross (New York = 100)",3.13549832026876
1994,"Lagos","General: Domestic Purchasing Power","Net (New York = 100)",3.12849162011173
1994,"Lisbon","General: Domestic Purchasing Power","Gross (New York = 100)",54.98320268757
1994,"Lisbon","General: Domestic Purchasing Power","Net (New York = 100)",50.1675977653631
1994,"London","General: Domestic Purchasing Power","Gross (New York = 100)",77.6035834266517
1994,"London","General: Domestic Purchasing Power","Net (New York = 100)",66.927374301676
1994,"Los angeles","General: Domestic Purchasing Power","Gross (New York = 100)",113.213885778276
1994,"Los angeles","General: Domestic Purchasing Power","Net (New York = 100)",112.737430167598
1994,"Luxembourg","General: Domestic Purchasing Power","Gross (New York = 100)",124.524076147816
1994,"Luxembourg","General: Domestic Purchasing Power","Net (New York = 100)",127.486033519553
1994,"Madrid","General: Domestic Purchasing Power","Gross (New York = 100)",83.7625979843225
1994,"Madrid","General: Domestic Purchasing Power","Net (New York = 100)",78.5474860335196
1994,"Manama","General: Domestic Purchasing Power","Gross (New York = 100)",37.5139977603583
1994,"Manama","General: Domestic Purchasing Power","Net (New York = 100)",45.1396648044693
1994,"Manila","General: Domestic Purchasing Power","Gross (New York = 100)",14.2217245240761
1994,"Manila","General: Domestic Purchasing Power","Net (New York = 100)",15.6424581005587
1994,"Mexico City","General: Domestic Purchasing Power","Gross (New York = 100)",30.7950727883539
1994,"Mexico City","General: Domestic Purchasing Power","Net (New York = 100)",33.6312849162011
1994,"Milan","General: Domestic Purchasing Power","Gross (New York = 100)",89.0257558790593
1994,"Milan","General: Domestic Purchasing Power","Net (New York = 100)",73.2960893854748
1994,"Montreal","General: Domestic Purchasing Power","Gross (New York = 100)",114.109742441209
1994,"Montreal","General: Domestic Purchasing Power","Net (New York = 100)",106.815642458101
1994,"Mumbai","General: Domestic Purchasing Power","Gross (New York = 100)",14.2217245240761
1994,"Mumbai","General: Domestic Purchasing Power","Net (New York = 100)",17.3184357541899
1994,"Nairobi","General: Domestic Purchasing Power","Gross (New York = 100)",7.61478163493841
1994,"Nairobi","General: Domestic Purchasing Power","Net (New York = 100)",8.26815642458101
1994,"New York","General: Domestic Purchasing Power","Gross (New York = 100)",100
1994,"New York","General: Domestic Purchasing Power","Net (New York = 100)",100
1994,"Nicosia","General: Domestic Purchasing Power","Gross (New York = 100)",67.8611422172452
1994,"Nicosia","General: Domestic Purchasing Power","Net (New York = 100)",61.340782122905
1994,"Oslo","General: Domestic Purchasing Power","Gross (New York = 100)",76.0358342665174
1994,"Oslo","General: Domestic Purchasing Power","Net (New York = 100)",66.145251396648
1994,"Panama","General: Domestic Purchasing Power","Gross (New York = 100)",34.2665173572228
1994,"Panama","General: Domestic Purchasing Power","Net (New York = 100)",37.2067039106145
1994,"Paris","General: Domestic Purchasing Power","Gross (New York = 100)",71.3325867861142
1994,"Paris","General: Domestic Purchasing Power","Net (New York = 100)",65.4748603351955
1994,"Prague","General: Domestic Purchasing Power","Gross (New York = 100)",20.0447928331467
1994,"Prague","General: Domestic Purchasing Power","Net (New York = 100)",19.8882681564246
1994,"Rio de Janeiro","General: Domestic Purchasing Power","Gross (New York = 100)",21.3885778275476
1994,"Rio de Janeiro","General: Domestic Purchasing Power","Net (New York = 100)",24.804469273743
1994,"São Paulo","General: Domestic Purchasing Power","Gross (New York = 100)",29.8992161254199
1994,"São Paulo","General: Domestic Purchasing Power","Net (New York = 100)",30.8379888268156
1994,"Seoul","General: Domestic Purchasing Power","Gross (New York = 100)",39.9776035834267
1994,"Seoul","General: Domestic Purchasing Power","Net (New York = 100)",38.4357541899441
1994,"Stockholm","General: Domestic Purchasing Power","Gross (New York = 100)",72.0044792833147
1994,"Stockholm","General: Domestic Purchasing Power","Net (New York = 100)",64.0223463687151
1994,"Sydney","General: Domestic Purchasing Power","Gross (New York = 100)",84.3225083986562
